Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
5/12/2021,76617.05469,78558.38349,76352.99883,77641.06711,21902
5/14/2021,75495.02344,77194.84703,75310.83663,76848.78407,23176
5/17/2021,77553.61719,77803.99231,75360.43336,76133.86939,20991
5/18/2021,78602.91406,79274.21686,77745.73563,78186.44852,24073
5/19/2021,79012.63281,79326.7637,77680.77983,78604.89015,19150
5/20/2021,80547.50781,81775.93392,78579.46032,79128.44957,26037
5/21/2021,81486.64844,81789.52333,80615.83566,81012.46954,20210
5/24/2021,81764.92969,82598.99955,81309.93953,81666.91,15291
5/25/2021,81490.0625,82399.64776,81231.60751,82010.00147,11453
5/26/2021,80883.0625,82103.20739,80714.98891,81974.25491,10203
5/27/2021,82097.39844,82474.89777,80670.95758,80913.19859,18209
5/28/2021,82680.42188,82946.06589,82128.00845,82498.86115,10943
5/31/2021,82937.53125,83258.40961,82301.53037,82536.53595,10282
6/1/2021,82384.28125,84086.38287,82114.91107,82939.51446,11331
6/2/2021,83722.11719,84063.02863,82103.20808,82103.20808,10170
6/3/2021,83760.15625,84369.98088,83104.71872,83992.18708,9669
6/4/2021,84204.09375,84617.87898,83531.10206,84135.96878,11134
6/7/2021,81707.07031,86565.33927,81557.83682,84878.55308,69851
6/8/2021,80664.61719,81761.25553,80467.23762,81567.74934,26448
6/9/2021,79553.00781,81299.04135,79335.70357,81180.05118,19134
6/10/2021,81480.64063,81633.15099,79376.3973,79625.23857,20186
6/11/2021,81479.99219,82121.50093,80640.81726,81877.269,13297
6/14/2021,81782.78125,82428.40357,80587.37171,81309.94255,11908
6/15/2021,82165.38281,82656.26368,81260.36042,81835.9753,12061
6/16/2021,81859.57813,82450.26823,81657.04695,82102.222,10103
6/17/2021,81980.64063,82594.88078,81137.44514,81235.56553,14770
6/18/2021,81948.61719,82447.67861,79822.55913,81954.46599,32641
6/21/2021,81088.875,81557.84812,80318.36715,80318.36715,6928
6/22/2021,81059.32031,81805.73568,80814.151,81805.73568,7101
6/23/2021,81280.73438,81805.68548,81062.04348,81062.04348,4801
6/24/2021,80293.55469,81506.26253,79971.28973,81506.26253,9667
6/25/2021,79836.65625,80565.31611,79698.62455,80534.42979,7525
6/28/2021,79876.75,80465.95268,79466.58257,80218.20371,10158
